Country,More Restrictive,Less Restrictive,No Change,Unclear/N.A.,Total Policies
France,108,133,7,26,274
Canada,100,132,9,16,257
Australia,72,114,2,15,203
Germany,71,114,5,4,194
Belgium,71,69,2,9,151
Spain,71,130,7,9,217
Italy,67,73,6,12,158
Netherlands,65,90,5,8,168
Switzerland,60,67,3,13,143
Norway,57,72,5,7,141
Austria,56,72,10,11,149
Denmark,52,63,3,4,122
Slovenia,49,46,2,7,104
Russia,48,51,6,12,117
Indonesia,47,33,0,3,83
Argentina,47,93,12,4,156
Slovakia,43,56,4,8,111
Hungary,43,58,5,9,115
Greece,42,68,2,6,118
India,42,40,3,2,87
Portugal,41,84,3,5,133
Ireland,41,59,3,2,105
Mexico,40,88,5,11,144
Israel,39,43,0,3,85
China,37,48,3,1,89
Japan,36,66,1,7,110
Sweden,34,79,3,9,125
Brazil,33,50,12,8,103
Luxembourg,32,62,2,4,100
Finland,28,66,7,16,117
Morocco,27,46,4,5,82
Korea,27,67,0,6,100
Poland,26,65,3,7,101
Iceland,24,48,5,3,80
Chile,24,43,8,5,80
Turkey,22,55,7,7,91
Ukraine,18,34,1,13,66
Czechoslovakia,14,19,0,1,34
Yugoslavia,13,31,1,2,47
